sample	chr	startpos	endpos	nMajor	nMinor
TumorSample-A	1	10829828	11416146	1	1
TumorSample-A	1	11416484	11425683	2	1
TumorSample-A	1	11426153	12044991	2	0
TumorSample-A	1	12048777	12530018	1	1
TumorSample-A	1	12530720	12582875	2	1
TumorSample-A	1	12588854	13609172	2	0
TumorSample-A	1	13610327	13937408	1	1
TumorSample-A	1	13941211	14869941	2	0
TumorSample-A	1	14870177	14881716	2	1
TumorSample-A	1	14881729	14961837	1	1
TumorSample-A	1	14965361	14985448	2	0
TumorSample-A	1	14986766	14991903	2	1
TumorSample-A	1	14992242	15020848	3	0
TumorSample-A	1	15020867	15111722	1	1
TumorSample-A	1	15111786	15430548	2	0
TumorSample-A	1	15433051	15563253	1	1
TumorSample-A	1	15565920	15576161	2	1
TumorSample-A	1	15577823	19388817	2	0
TumorSample-A	1	19388916	19546640	1	1
TumorSample-A	1	19547061	19691584	2	0
TumorSample-A	1	19691598	19824346	2	1
TumorSample-A	1	19824491	20115561	2	0
TumorSample-A	1	20115818	20154175	2	1
TumorSample-A	1	20154347	20379297	1	1
TumorSample-A	1	20380660	21514005	2	0
TumorSample-A	1	21514156	21553031	2	1
TumorSample-A	1	21553575	21649430	2	0
TumorSample-A	1	21654257	22179760	1	1
TumorSample-A	1	22180285	22609579	2	0
TumorSample-A	1	22611602	22660245	1	1
TumorSample-A	1	22664876	22750346	2	0
TumorSample-A	1	22753858	22777891	2	1
TumorSample-A	1	22778150	22811268	1	1
TumorSample-A	1	22811519	22948163	2	0
TumorSample-A	1	22948219	23646957	1	1
TumorSample-A	1	23647111	24011935	2	0
TumorSample-A	1	24013240	24079049	1	1
TumorSample-A	1	24079211	24083752	2	0
TumorSample-A	1	24084998	24088636	2	1
TumorSample-A	1	24089109	24698192	2	0
TumorSample-A	1	24698738	24866068	1	1
TumorSample-A	1	24866151	25076214	2	0
TumorSample-A	1	25076389	25087009	2	1
TumorSample-A	1	25094616	25171684	3	0
TumorSample-A	1	25172539	25201453	2	1
TumorSample-A	1	25204035	26236614	2	0
TumorSample-A	1	26239174	28131193	1	1
TumorSample-A	1	28134195	29281844	2	0
TumorSample-A	1	29284611	29390102	1	1
TumorSample-A	1	29390366	29464005	2	0
TumorSample-A	1	29464170	29699887	2	1
TumorSample-A	1	29700254	29716589	2	0
TumorSample-A	1	29717297	29934331	1	1
TumorSample-A	1	29937723	30742517	2	0
TumorSample-A	1	30746868	30803715	2	1
TumorSample-A	1	30812619	31351485	2	0
TumorSample-A	1	31354312	31503411	1	1
TumorSample-A	1	31505266	31523660	2	0
TumorSample-A	1	31524270	31660469	1	1
TumorSample-A	1	31669421	33537768	2	0
TumorSample-A	1	33541751	33564566	1	1
TumorSample-A	1	33564914	33588371	2	0
TumorSample-A	1	33588629	33783235	1	1
TumorSample-A	1	33785711	33850932	2	0
TumorSample-A	1	33852493	33882659	2	1
TumorSample-A	1	33883270	33980922	2	0
TumorSample-A	1	33981309	33998178	2	1
TumorSample-A	1	33998910	34106070	1	1
TumorSample-A	1	34106564	34656991	3	0
TumorSample-A	1	34657614	34828555	1	1
TumorSample-A	1	34833372	34902830	2	1
TumorSample-A	1	34903159	37436955	2	0
TumorSample-A	1	37437458	37711252	2	1
TumorSample-A	1	37711372	38003828	2	0
TumorSample-A	1	38006844	38178768	2	1
TumorSample-A	1	38179108	38278231	2	0
TumorSample-A	1	38282288	38331643	2	1
TumorSample-A	1	38332019	38464192	3	0
TumorSample-A	1	38465433	39793013	1	1
TumorSample-A	1	39793023	40402129	2	0
TumorSample-A	1	40406951	40584176	2	1
TumorSample-A	1	40584382	40849192	2	0
TumorSample-A	1	40849992	40965267	2	1
TumorSample-A	1	40965301	41377768	2	0
TumorSample-A	1	41377945	41398692	2	1
TumorSample-A	1	41399299	41445154	2	0
TumorSample-A	1	41447486	41476433	2	1
TumorSample-A	1	41481713	42053640	2	0
TumorSample-A	1	42054044	42124690	1	1
TumorSample-A	1	42124851	42376170	2	0
TumorSample-A	1	42377283	42571029	1	1
TumorSample-A	1	42571545	42584725	2	1
TumorSample-A	1	42585148	43025746	2	0
TumorSample-A	1	43026613	43356993	1	1
TumorSample-A	1	43356994	43390739	2	0
TumorSample-A	1	43390877	43513166	1	1
TumorSample-A	1	43513431	43892476	2	0
TumorSample-A	1	43896951	44076324	1	1
TumorSample-A	1	44077111	44525929	3	0
TumorSample-A	1	44526209	46398839	1	1
TumorSample-A	1	46399368	47016654	2	0
TumorSample-A	1	47017103	47243529	1	1
TumorSample-A	1	47244482	47429085	2	0
TumorSample-A	1	47430100	47501500	2	1
TumorSample-A	1	47501570	48098595	2	0
TumorSample-A	1	48099679	48219763	1	1
TumorSample-A	1	48222058	48755542	2	0
TumorSample-A	1	48755684	48815907	2	1
TumorSample-A	1	48820224	48898663	1	1
TumorSample-A	1	48898688	48960787	3	0
TumorSample-A	1	48960944	48984636	2	1
TumorSample-A	1	48985032	51315539	1	1
TumorSample-A	1	51315669	51788192	2	0
TumorSample-A	1	51795458	52698548	2	1
TumorSample-A	1	52698877	53065606	2	0
TumorSample-A	1	53065777	53348301	1	1
TumorSample-A	1	53348366	54196673	2	0
TumorSample-A	1	54197013	54352426	2	1
TumorSample-A	1	54355756	54454433	2	0
TumorSample-A	1	54456330	54643305	2	1
TumorSample-A	1	54645515	54843760	1	1
TumorSample-A	1	54843770	55024503	2	0
TumorSample-A	1	55024683	55553055	1	1
TumorSample-A	1	55554007	55598137	2	0
TumorSample-A	1	55598756	55735351	2	1
TumorSample-A	1	55737149	56099044	2	0
TumorSample-A	1	56103407	56207913	1	1
TumorSample-A	1	56210506	56300954	3	0
TumorSample-A	1	56301158	56437420	2	1
TumorSample-A	1	56437720	56591643	2	0
TumorSample-A	1	56592058	56630231	1	1
TumorSample-A	1	56632291	57157027	3	0
TumorSample-A	1	57157154	57518989	1	1
TumorSample-A	1	57521166	58407216	2	0
TumorSample-A	1	58408225	58469117	1	1
TumorSample-A	1	58469438	58600433	2	1
TumorSample-A	1	58601500	59064137	2	0
TumorSample-A	1	59064492	59382982	1	1
TumorSample-A	1	59384680	59540206	2	1
TumorSample-A	1	59540277	60237095	2	0
TumorSample-A	1	60238606	60416951	1	1
TumorSample-A	1	60419641	60637528	3	0
TumorSample-A	1	60638487	60675344	2	1
TumorSample-A	1	60676247	60691045	2	0
TumorSample-A	1	60691490	60715808	1	1
TumorSample-A	1	60716579	61537072	2	0
TumorSample-A	1	61537216	61576018	2	1
TumorSample-A	1	61577089	61676057	2	0
TumorSample-A	1	61677897	61916945	1	1
TumorSample-A	1	61921980	62039267	3	0
TumorSample-A	1	62039372	62263246	2	1
TumorSample-A	1	62263343	62744274	2	0
TumorSample-A	1	62745143	62946053	1	1
TumorSample-A	1	62946766	62950063	2	0
TumorSample-A	1	62950291	62952679	1	1
TumorSample-A	1	62953353	62974858	3	0
TumorSample-A	1	62975126	63465107	1	1
TumorSample-A	1	63465804	63471034	3	0
TumorSample-A	1	63475597	63481253	2	0
TumorSample-A	1	63485919	63601008	2	1
TumorSample-A	1	63602665	64022714	1	1
TumorSample-A	1	64022945	64102096	2	0
TumorSample-A	1	64111799	64150708	3	0
TumorSample-A	1	64150746	64233919	2	0
TumorSample-A	1	64235720	64284126	3	0
TumorSample-A	1	64284543	64323806	1	1
TumorSample-A	1	64323934	64325995	3	0
TumorSample-A	1	64326005	65470561	2	0
TumorSample-A	1	65471382	65868162	3	0
TumorSample-A	1	65868194	66180503	2	0
TumorSample-A	1	66180691	66226202	1	1
TumorSample-A	1	66227081	66462208	3	0
TumorSample-A	1	66462449	66464433	2	1
TumorSample-A	1	66464960	66835279	1	1
TumorSample-A	1	66839623	67547718	2	0
TumorSample-A	1	67551435	67592616	1	1
TumorSample-A	1	67593125	67838913	2	0
TumorSample-A	1	67838957	67855754	1	1
TumorSample-A	1	67857777	68116178	2	0
TumorSample-A	1	68116316	68138048	2	1
TumorSample-A	1	68140108	68438583	1	1
TumorSample-A	1	68438672	69067860	3	0
TumorSample-A	1	69068797	69218916	2	1
TumorSample-A	1	69219314	69451873	1	1
TumorSample-A	1	69453982	70559373	2	0
TumorSample-A	1	70559459	70687495	1	1
TumorSample-A	1	70688734	70828859	2	1
TumorSample-A	1	70829991	70917124	2	0
TumorSample-A	1	70917776	70977383	1	1
TumorSample-A	1	70977400	71911895	3	0
TumorSample-A	1	71915913	72270942	1	1
TumorSample-A	1	72272027	72815602	3	0
TumorSample-A	1	72816303	72941967	2	1
TumorSample-A	1	72942754	73032270	3	0
TumorSample-A	1	73033259	73056906	2	1
TumorSample-A	1	73057185	73113554	1	1
TumorSample-A	1	73113572	73186439	3	0
TumorSample-A	1	73186514	73872041	1	1
TumorSample-A	1	73872054	74268898	3	0
TumorSample-A	1	74269135	74704668	1	1
TumorSample-A	1	74705425	75251747	3	0
TumorSample-A	1	75251857	75624733	1	1
TumorSample-A	1	75625021	75628549	2	1
TumorSample-A	1	75629749	75858299	2	0
TumorSample-A	1	75860348	75943115	2	1
TumorSample-A	1	75943970	76137963	3	0
TumorSample-A	1	76142333	76331100	1	1
TumorSample-A	1	76337392	76367189	2	0
TumorSample-A	1	76367901	76410813	2	1
TumorSample-A	1	76412471	76626537	3	0
TumorSample-A	1	76627287	76668322	1	1
TumorSample-A	1	76668704	77438766	2	0
TumorSample-A	1	77443300	77451543	2	1
TumorSample-A	1	77452662	77857095	1	1
TumorSample-A	1	77865541	78590612	3	0
TumorSample-A	1	78597066	78702947	2	1
TumorSample-A	1	78703290	78915284	2	0
TumorSample-A	1	78916133	78988863	2	1
TumorSample-A	1	78989176	79004010	2	0
TumorSample-A	1	79004180	79103587	2	1
TumorSample-A	1	79105932	79950877	1	1
TumorSample-A	1	79951138	80217685	2	1
TumorSample-A	1	80217921	80586553	3	0
TumorSample-A	1	80587631	80737369	2	1
TumorSample-A	1	80738004	80858550	3	0
TumorSample-A	1	80870808	80927266	2	1
TumorSample-A	1	80927477	80954452	2	0
TumorSample-A	1	80955255	81274846	1	1
TumorSample-A	1	81276030	81652659	3	0
TumorSample-A	1	81654150	81892102	1	1
TumorSample-A	1	81898744	82371529	3	0
TumorSample-A	1	82378174	82398147	2	1
TumorSample-A	1	82398788	82475831	2	0
TumorSample-A	1	82477956	82573401	1	1
TumorSample-A	1	82574781	83679280	3	0
TumorSample-A	1	83679936	83750453	2	1
TumorSample-A	1	83750625	84239798	2	0
TumorSample-A	1	84241136	85069369	1	1
TumorSample-A	1	85069695	85811592	2	0
TumorSample-A	1	85812632	85867799	1	1
TumorSample-A	1	85867932	86006390	2	0
TumorSample-A	1	86007109	86192158	1	1
TumorSample-A	1	86192855	86300454	2	1
TumorSample-A	1	86301063	86574262	1	1
TumorSample-A	1	86578900	87232758	2	0
TumorSample-A	1	87233649	87450936	1	1
TumorSample-A	1	87451273	87912911	3	0
TumorSample-A	1	87916729	88197118	1	1
TumorSample-A	1	88197436	88961569	2	0
TumorSample-A	1	88961770	89384556	1	1
TumorSample-A	1	89386611	89735680	2	0
TumorSample-A	1	89737080	89804845	1	1
TumorSample-A	1	89805287	90024407	2	0
TumorSample-A	1	90026958	91052370	1	1
TumorSample-A	1	91052553	91339318	3	0
TumorSample-A	1	91347898	91627195	1	1
TumorSample-A	1	91627433	92099087	2	0
TumorSample-A	1	92101296	93588825	1	1
TumorSample-A	1	93589985	93742436	2	0
TumorSample-A	1	93742888	93778362	2	1
TumorSample-A	1	93778954	94070511	2	0
TumorSample-A	1	94070741	94259163	1	1
TumorSample-A	1	94261020	94330513	3	0
TumorSample-A	1	94330585	94385754	1	1
TumorSample-A	1	94385820	94672133	2	0
TumorSample-A	1	94672250	94754982	1	1
TumorSample-A	1	94759065	95106352	2	0
TumorSample-A	1	95106437	95316446	2	1
TumorSample-A	1	95316516	95687564	3	0
TumorSample-A	1	95687680	96139413	1	1
TumorSample-A	1	96139619	96613166	2	0
TumorSample-A	1	96614188	96634211	2	1
TumorSample-A	1	96634385	97141208	1	1
TumorSample-A	1	97143336	97262941	2	0
TumorSample-A	1	97265070	97343694	1	1
TumorSample-A	1	97345051	99286964	2	0
TumorSample-A	1	99287093	99474332	1	1
TumorSample-A	1	99477477	99650004	3	0
TumorSample-A	1	99650486	100042434	1	1
TumorSample-A	1	100045299	100250192	2	0
TumorSample-A	1	100250235	100565607	1	1
TumorSample-A	1	100566273	100736798	2	0
TumorSample-A	1	100737839	101120491	1	1
TumorSample-A	1	101121263	101809634	3	0
TumorSample-A	1	101809877	101888838	2	1
TumorSample-A	1	101889202	101924177	3	0
TumorSample-A	1	101924719	102011574	1	1
TumorSample-A	1	102014174	102275882	3	0
TumorSample-A	1	102276919	102886298	2	1
TumorSample-A	1	102886895	103314068	3	0
TumorSample-A	1	103319323	104093663	1	1
TumorSample-A	1	104093794	104378426	3	0
TumorSample-A	1	104380697	104933279	1	1
TumorSample-A	1	104934009	104958983	3	0
TumorSample-A	1	104959015	105631826	1	1
TumorSample-A	1	105631838	106100083	3	0
TumorSample-A	1	106104596	106143804	2	1
TumorSample-A	1	106145130	106432426	3	0
TumorSample-A	1	106450237	106620493	1	1
TumorSample-A	1	106620767	107263060	3	0
TumorSample-A	1	107264496	107474921	1	1
TumorSample-A	1	107474937	107742766	2	0
TumorSample-A	1	107744010	107762379	1	1
TumorSample-A	1	107762532	108222656	2	0
TumorSample-A	1	108311544	108722407	1	1
TumorSample-A	1	108722704	109158115	2	0
TumorSample-A	1	109158116	109613427	2	1
TumorSample-A	1	109613590	109703649	3	0
TumorSample-A	1	109704188	109880978	1	1
TumorSample-A	1	109881907	110306105	2	0
TumorSample-A	1	110307393	110324268	2	1
TumorSample-A	1	110325407	110362381	1	1
TumorSample-A	1	110370498	110639922	2	0
TumorSample-A	1	110640786	110708373	1	1
TumorSample-A	1	110710770	111723678	2	0
TumorSample-A	1	111723744	111860522	2	1
TumorSample-A	1	111860673	112029820	2	0
TumorSample-A	1	112035117	112166100	1	1
TumorSample-A	1	112166663	112207847	3	0
TumorSample-A	1	112208827	112272447	1	1
TumorSample-A	1	112272559	112904217	2	0
TumorSample-A	1	112905844	113214234	1	1
TumorSample-A	1	113214242	113245216	2	0
TumorSample-A	1	113245244	113318174	1	1
TumorSample-A	1	113318902	114119809	2	0
TumorSample-A	1	114120248	114208687	2	1
TumorSample-A	1	114208872	114566302	3	0
TumorSample-A	1	114566820	115112782	1	1
TumorSample-A	1	115113033	115154135	2	1
TumorSample-A	1	115154959	115184748	3	0
TumorSample-A	1	115185268	115191470	2	1
TumorSample-A	1	115191668	115304925	3	0
TumorSample-A	1	115305275	115862175	1	1
TumorSample-A	1	115863481	116287635	2	0
TumorSample-A	1	116287675	116484823	2	1
TumorSample-A	1	116485137	117521144	2	0
TumorSample-A	1	117521993	118303133	1	1
TumorSample-A	1	118311624	118696849	3	0
TumorSample-A	1	118696911	119314178	1	1
TumorSample-A	1	119316457	119408720	3	0
TumorSample-A	1	119410037	120345914	1	1
TumorSample-A	1	120346181	125122318	3	0
TumorSample-A	1	145436785	147056317	2	0
TumorSample-A	1	147056959	147076485	2	1
TumorSample-A	1	147083843	147274360	2	0
TumorSample-A	1	147274367	147350118	2	1
TumorSample-A	1	147352022	147379565	3	0
TumorSample-A	1	147382164	147386718	2	1
TumorSample-A	1	147388421	147587971	1	1
TumorSample-A	1	147588292	147615921	3	0
TumorSample-A	1	147616226	148320722	1	1
TumorSample-A	1	148322656	151272510	2	0
TumorSample-A	1	151273765	151588206	1	1
TumorSample-A	1	151596128	151886412	2	0
TumorSample-A	1	151886574	152636442	1	1
TumorSample-A	1	152637780	153239076	2	0
TumorSample-A	1	153239081	154658647	1	1
TumorSample-A	1	154659410	155120331	2	0
TumorSample-A	1	155121537	156260211	2	1
TumorSample-A	1	156260350	157501265	2	0
TumorSample-A	1	157501562	157675486	1	1
TumorSample-A	1	157675906	157983748	2	0
TumorSample-A	1	157985224	158050689	2	1
TumorSample-A	1	158054709	158073575	2	0
TumorSample-A	1	158074629	158243647	1	1
TumorSample-A	1	158244169	158952497	2	0
TumorSample-A	1	158960545	159389867	1	1
TumorSample-A	1	159390465	159612957	3	0
TumorSample-A	1	159613556	160144553	1	1
TumorSample-A	1	160149040	160157445	2	0
TumorSample-A	1	160158090	160500977	1	1
TumorSample-A	1	160503373	160917102	2	0
TumorSample-A	1	160917685	160969887	1	1
TumorSample-A	1	160970295	160987704	2	0
TumorSample-A	1	160988096	161271111	1	1
TumorSample-A	1	161271809	162010712	2	0
TumorSample-A	1	162011235	162368791	1	1
TumorSample-A	1	162369063	162796686	2	0
TumorSample-A	1	162800987	162844203	1	1
TumorSample-A	1	162844759	164107797	3	0
TumorSample-A	1	164108059	164158465	1	1
TumorSample-A	1	164161693	164379450	3	0
TumorSample-A	1	164380293	164412620	2	1
TumorSample-A	1	164414502	164778382	2	0
TumorSample-A	1	164779888	164809899	2	1
TumorSample-A	1	164812455	164899772	2	0
TumorSample-A	1	164901505	165054437	1	1
TumorSample-A	1	165054456	165345837	2	0
TumorSample-A	1	165345861	165714815	1	1
TumorSample-A	1	165714961	166336359	2	0
TumorSample-A	1	166336414	166365595	2	1
TumorSample-A	1	166365608	166484926	1	1
TumorSample-A	1	166485565	166816323	2	1
TumorSample-A	1	166817248	166988012	3	0
TumorSample-A	1	166988642	167053683	1	1
TumorSample-A	1	167055371	167482570	2	0
TumorSample-A	1	167482592	167567199	2	1
TumorSample-A	1	167569396	167641506	2	0
TumorSample-A	1	167641984	167793914	1	1
TumorSample-A	1	167794567	167807833	2	1
TumorSample-A	1	167808907	168950052	2	0
TumorSample-A	1	168950339	169102056	1	1
TumorSample-A	1	169103493	169610028	2	0
TumorSample-A	1	169610140	170242290	1	1
TumorSample-A	1	170243339	170267925	2	0
TumorSample-A	1	170268110	170272740	1	1
TumorSample-A	1	170273147	170627592	2	0
TumorSample-A	1	170628154	170639527	2	1
TumorSample-A	1	170640049	170648305	3	0
TumorSample-A	1	170649150	170958588	1	1
TumorSample-A	1	170959530	171410333	2	0
TumorSample-A	1	171410535	171441393	1	1
TumorSample-A	1	171442431	171916089	2	0
TumorSample-A	1	171916200	171937492	1	1
TumorSample-A	1	171937689	172018569	3	0
TumorSample-A	1	172019760	172363091	1	1
TumorSample-A	1	172364108	172975669	2	0
TumorSample-A	1	172978649	173208253	1	1
TumorSample-A	1	173209324	173874913	2	0
TumorSample-A	1	173876972	174123372	1	1
TumorSample-A	1	174124699	174223973	2	0
TumorSample-A	1	174228270	174574712	1	1
TumorSample-A	1	174580802	175120827	2	0
TumorSample-A	1	175121418	175303184	1	1
TumorSample-A	1	175303236	175482014	2	0
TumorSample-A	1	175485397	177047232	1	1
TumorSample-A	1	177072861	177323789	2	0
TumorSample-A	1	177324167	177517755	1	1
TumorSample-A	1	177522693	177758154	3	0
TumorSample-A	1	177758295	177768254	2	1
TumorSample-A	1	177770096	177814509	3	0
TumorSample-A	1	177815002	177858203	2	1
TumorSample-A	1	177859601	178575868	2	0
TumorSample-A	1	178575881	178998081	1	1
TumorSample-A	1	178998094	179942655	2	0
TumorSample-A	1	179942756	180146622	1	1
TumorSample-A	1	180146874	180908273	2	0
TumorSample-A	1	180909045	181030215	1	1
TumorSample-A	1	181033343	181194417	2	0
TumorSample-A	1	181195382	181564969	1	1
TumorSample-A	1	181565299	181643846	2	0
TumorSample-A	1	181643892	181872147	1	1
TumorSample-A	1	181872914	182140796	3	0
TumorSample-A	1	182140923	182441274	1	1
TumorSample-A	1	182442013	182707107	2	0
TumorSample-A	1	182707746	183297749	1	1
TumorSample-A	1	183298048	183364670	2	0
TumorSample-A	1	183366332	183400644	2	1
TumorSample-A	1	183400645	183431755	2	0
TumorSample-A	1	183432080	183589039	2	1
TumorSample-A	1	183589222	183670038	3	0
TumorSample-A	1	183670744	183785902	1	1
TumorSample-A	1	183790276	184015361	2	0
TumorSample-A	1	184015583	184205665	1	1
TumorSample-A	1	184205732	184255912	3	0
TumorSample-A	1	184256128	184328344	2	1
TumorSample-A	1	184328534	185912396	2	0
TumorSample-A	1	185912442	186035081	2	1
TumorSample-A	1	186035475	186052488	2	0
TumorSample-A	1	186052696	186086239	2	1
TumorSample-A	1	186088049	186095649	2	0
TumorSample-A	1	186095736	186125124	2	1
TumorSample-A	1	186125128	187317681	2	0
TumorSample-A	1	187318382	187378797	2	1
TumorSample-A	1	187379053	187769664	3	0
TumorSample-A	1	187770138	187784754	2	1
TumorSample-A	1	187784777	187933850	1	1
TumorSample-A	1	187934045	188007555	2	1
TumorSample-A	1	188007707	188144316	2	0
TumorSample-A	1	188145400	188168809	2	1
TumorSample-A	1	188173974	188278523	3	0
TumorSample-A	1	188278543	188355047	1	1
TumorSample-A	1	188355230	188375461	2	1
TumorSample-A	1	188377558	188791810	3	0
TumorSample-A	1	188792158	190121625	1	1
TumorSample-A	1	190122222	190487053	3	0
TumorSample-A	1	190488390	190744850	1	1
TumorSample-A	1	190764595	191849061	2	0
TumorSample-A	1	191850647	191911187	2	1
TumorSample-A	1	191913099	192546276	2	0
TumorSample-A	1	192546648	192669085	1	1
TumorSample-A	1	192670305	193538848	2	0
TumorSample-A	1	193539479	193740603	1	1
TumorSample-A	1	193741101	193804353	2	0
TumorSample-A	1	193804953	193916376	1	1
TumorSample-A	1	193917889	194040066	3	0
TumorSample-A	1	194040255	194394795	1	1
TumorSample-A	1	194394883	194546695	2	0
TumorSample-A	1	194546826	195084247	1	1
TumorSample-A	1	195084358	195716244	3	0
TumorSample-A	1	195716275	195798153	2	1
TumorSample-A	1	195799425	196063878	1	1
TumorSample-A	1	196064405	196428645	2	0
TumorSample-A	1	196428689	196543018	1	1
TumorSample-A	1	196543464	196717788	3	0
TumorSample-A	1	196718199	196958661	1	1
TumorSample-A	1	196960180	198349176	2	0
TumorSample-A	1	198351106	198369360	2	1
TumorSample-A	1	198369482	199344349	2	0
TumorSample-A	1	199346059	199597880	1	1
TumorSample-A	1	199598586	199797056	2	0
TumorSample-A	1	199797076	200099427	1	1
TumorSample-A	1	200099843	200115765	3	0
TumorSample-A	1	200116586	200181762	2	1
TumorSample-A	1	200182696	200477564	3	0
TumorSample-A	1	200477757	201060303	1	1
TumorSample-A	1	201065520	201190333	2	0
TumorSample-A	1	201190347	201247944	1	1
TumorSample-A	1	201248020	201343218	2	0
TumorSample-A	1	201343481	201657863	2	1
TumorSample-A	1	201658366	202113944	2	0
TumorSample-A	1	202114409	202297036	1	1
TumorSample-A	1	202297419	203025505	2	0
TumorSample-A	1	203028223	203066565	1	1
TumorSample-A	1	203066769	203133504	2	1
TumorSample-A	1	203133600	203522264	2	0
TumorSample-A	1	203522643	203549254	2	1
TumorSample-A	1	203549328	203949414	1	1
TumorSample-A	1	203949442	204098248	2	0
TumorSample-A	1	204098952	204484192	1	1
TumorSample-A	1	204484565	205038822	2	0
TumorSample-A	1	205040260	205050968	2	1
TumorSample-A	1	205050997	205143783	2	0
TumorSample-A	1	205144467	205234050	1	1
TumorSample-A	1	205234225	205803242	2	0
TumorSample-A	1	205804251	205849911	1	1
TumorSample-A	1	205850526	205912696	2	0
TumorSample-A	1	205913326	206634569	1	1
TumorSample-A	1	206637601	206654817	2	1
TumorSample-A	1	206656030	206667058	1	1
TumorSample-A	1	206667368	206703452	2	1
TumorSample-A	1	206703461	206739472	1	1
TumorSample-A	1	206759106	208010459	2	0
TumorSample-A	1	208011840	208053887	3	0
TumorSample-A	1	208055486	208084757	2	1
TumorSample-A	1	208087888	208090254	1	1
TumorSample-A	1	208090312	208374237	2	0
TumorSample-A	1	208374829	208401271	1	1
TumorSample-A	1	208402236	208862183	3	0
TumorSample-A	1	208863064	208948122	1	1
TumorSample-A	1	208952628	209081690	2	0
TumorSample-A	1	209082469	209156193	1	1
TumorSample-A	1	209156200	210339703	2	0
TumorSample-A	1	210340809	210604103	1	1
TumorSample-A	1	210605603	210810604	2	0
TumorSample-A	1	210810652	211183266	1	1
TumorSample-A	1	211184989	211670678	2	0
TumorSample-A	1	211673073	211730674	1	1
TumorSample-A	1	211730992	211746595	2	0
TumorSample-A	1	211747282	211883251	3	0
TumorSample-A	1	211883314	212073846	1	1
TumorSample-A	1	212074981	213356757	2	0
TumorSample-A	1	213357401	213630890	1	1
TumorSample-A	1	213631016	215301354	2	0
TumorSample-A	1	215301563	215749518	1	1
TumorSample-A	1	215751364	215795657	2	0
TumorSample-A	1	215796010	216312663	1	1
TumorSample-A	1	216315420	216485507	2	0
TumorSample-A	1	216485520	216597374	1	1
TumorSample-A	1	216598230	216763848	3	0
TumorSample-A	1	216765199	216827701	2	1
TumorSample-A	1	216828245	216930316	2	0
TumorSample-A	1	216935431	216995035	1	1
TumorSample-A	1	216995141	217253177	2	0
TumorSample-A	1	217253386	217410465	1	1
TumorSample-A	1	217410595	217497881	2	0
